sentence,label,id,token_count,char_count,avg_word_len,dep_depth,num_clauses,passive_voice_count,negation_count,hedge_count,num_financial_terms,num_entities,entity_density,flesch_reading_ease,flesch_kincaid_grade,complexity_score
"Aldata Solution , a global company engaged in supplier to consumer business process optimization , has announced the details of its Dollars for Dinosaurs program .",neutral,2451,26,163,5.87,8,1,0,0,0,0,2,0.0769,10.61,17.49,0.23038081861210494
"The Annual Report will be sent automatically to shareholders holding at least 2,000 Sampo plc shares .",neutral,2151,17,102,5.333,7,1,2,0,0,0,2,0.1176,47.83,10.56,0.16893104548673224
down to EUR5 .9 m H1 '09 3 August 2009 - Finnish media group Ilkka-Yhtyma Oyj ( HEL : ILK2S ) said today its net profit fell 45 % on the year to EUR5 .9 m in the first half of 2009 .,negative,3293,46,182,3.704,7,1,0,0,0,1,11,0.2391,86.85,4.21,0.19068164101321805
"The order includes a new Crecent former , headbox , and reel .",neutral,1767,13,62,4.7,3,0,0,0,0,0,1,0.0769,69.79,6.01,0.08307497422232162
Today the orange scissors are the iconic symbol of the excellent ergonomic design and superior quality associated with every product from Fiskars .,neutral,1244,23,147,5.636,8,1,0,0,0,0,2,0.087,11.46,17.13,0.22261374012373283
Exel wants to serve its industrial customers with individual products .,neutral,1018,11,71,6.0,4,1,0,0,0,0,1,0.0909,19.03,13.09,0.15179849775144108
The use case dramatically narrows if you go only with the hot s Ltd.,neutral,1242,14,68,3.923,4,1,0,0,0,0,0,0.0,65.73,7.57,0.1276645345731465
"The first four of the new shop-in-shops will be opened this spring : on Madison Avenue in New York as well as in Chicago , Los Angeles and San Francisco .",neutral,2228,35,154,3.967,6,0,2,0,0,0,8,0.2286,57.56,12.19,0.17847004820115286
"France T+®l+®com spent more time studying TeliaSonera than other potential takeover targets because it has a shareholder that wants to sell , Pellissier said .",neutral,1213,29,159,5.522,6,5,0,0,0,0,4,0.1379,43.72,12.88,0.3094745196966309
No financial details were revealed .,neutral,2063,6,36,6.0,2,0,2,1,0,0,0,0.0,49.48,7.6,0.15505846175586366
Diluted earnings per share ( EPS ) declined to EUR 0.78 from EUR 1.76 .,negative,3291,15,71,4.6,3,0,0,1,0,3,2,0.1333,87.95,2.48,0.15113280085345857
The contract is worth some EUR 1 million .,neutral,2684,9,42,4.571,3,0,0,0,0,0,1,0.1111,92.97,2.28,0.05508649109893659
Financial terms were n't disclosed .,neutral,1950,6,36,6.75,2,0,2,1,0,0,0,0.0,66.4,5.24,0.14225464231141918
No pricing details were disclosed .,neutral,1643,6,35,5.8,2,0,2,1,0,0,0,0.0,66.4,5.24,0.14225464231141918
The loss for the third quarter of 2007 was EUR 0.3 mn smaller than the loss of the second quarter of 2007 .,positive,480,23,107,3.842,7,0,0,0,0,0,3,0.1304,95.69,2.65,0.10986667815792091
"Talvik says the relocation of application programs on servers will continue , while HP servers were approved because of HP supplying a tailor-made solution to Elisa .",neutral,757,29,166,5.269,6,2,2,0,0,0,4,0.1379,25.8,15.87,0.24236297455774203
"The devices would be launched in the Chinese market in late 2006 , the company said .",neutral,2693,17,85,4.5,4,1,2,0,1,0,2,0.1176,73.17,6.78,0.17085913042262968
The combined value of the orders is almost EUR 3mn .,neutral,2166,11,52,4.222,4,0,0,0,0,0,0,0.0,78.25,4.83,0.07920735191810772
"Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday it returned to a net profit of EUR 2.7 million USD 3.8 m for the first nine months of 2010 versus a net loss of EUR 579,000 for the same period of 2009 .",positive,1455,47,246,4.41,8,1,0,0,0,1,7,0.1489,73.17,6.78,0.2129730242807096
Pertti Ervi is independent from the Company and its major shareholders .,neutral,883,12,72,5.455,5,0,0,0,0,0,1,0.0833,41.85,10.15,0.11641844004671038
"Its product portfolio comprises harvesters , forwarders , harvester heads , as well as cranes and loaders .",neutral,2019,18,107,6.143,4,0,0,0,0,0,0,0.0,29.47,12.63,0.1350909517243093
Dragonfly Love is another video shot from start to finish using the Nokia N8 .,neutral,831,15,78,4.692,5,2,0,0,0,0,2,0.1333,47.6,10.1,0.17751668172952692
"The Polish business employs about 1,000 people , and it had net sales of about EUR 70mn in 2007 .",neutral,2751,20,97,4.2,5,0,0,0,2,0,4,0.2,75.77,7.16,0.19903386115459154
"In addition , MIDs are always online and enable full Internet browsing .",neutral,1991,13,72,5.273,3,0,0,0,0,0,0,0.0,41.85,10.15,0.10553591172232162
The Moscow Metro ( www.mosmetro.ru ) was the first metro system in Europe to implement smart cards together with a new type of magnetic card in 1998 .,neutral,1222,28,150,4.391,8,1,0,0,0,0,4,0.1429,68.94,6.75,0.17598855843768635
"Sullivan said some of the boards `` really involve a lot of work , and people should get paid for their time . ''",neutral,1684,25,113,4.2,5,1,2,0,1,0,1,0.04,80.79,6.96,0.19374982530187834
"It is necessary to strengthen the company 's operations , however .",neutral,743,12,67,5.778,4,1,0,0,0,0,0,0.0,19.03,13.09,0.15373648224756511
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",negative,3414,37,181,4.786,5,1,0,0,0,2,3,0.0811,43.21,14.44,0.21592056981092225
"DnB Nord of Norway is the `` most likely Nordic buyer '' for Citadele , while Nordea would be a `` good strategic fit '' , according to the document published by Pietiek .",neutral,828,36,171,4.704,6,2,0,0,2,0,6,0.1667,60.36,11.55,0.31582469936394353
The group reiterated its forecast that handset manufacturers will sell around 915 mln units this year globally .,neutral,2234,18,112,5.688,5,1,0,0,2,1,2,0.1111,35.31,12.56,0.25223254494012126
"Sales in local currencies decreased by 0.5 percent while the number of subscribers rose by 12.7 million to a total of 147.6 million at the end of fourth quarter , the company said .",neutral,3254,34,181,4.621,7,2,0,0,0,0,4,0.1176,77.1,4.49,0.19672270205972966
All reproduction for further distribution is prohibited .,neutral,2932,8,57,7.0,4,0,2,0,0,0,0,0.0,-5.73,15.8,0.13290945745751345
The shares shall be acquired according to the Rules of NASDAQ OMX Helsinki and otherwise according to the rules related to acquisition of the company 's own shares .,neutral,2324,29,165,4.963,11,1,2,0,0,1,1,0.0345,39.43,14.72,0.24039732952569073
"The company said that the operations will be sold to a newly established company , CPS GmbH , where the present management of the plastics business is a co-owner .",neutral,2680,32,163,4.643,8,2,2,0,0,0,1,0.0312,44.7,13.73,0.24938719781107135
Other potential clients include public administration organizations investing in utility networks and services .,neutral,753,14,112,7.538,5,1,0,0,0,0,0,0.0,-34.13,21.25,0.20829354098340291
"Professional and consumer applications include personal navigation , personal safety , field and workflow management , and asset tracking .",neutral,755,20,139,7.25,5,0,0,0,0,0,0,0.0,-10.33,18.68,0.1782005278212582
"Finnair 's Tallinn-based subsidiary , Aero AS , carried 23,335 passengers , a decline of 60.8 % , on routes between Helsinki and the Baltic capitals and within Southern Finland .",negative,3262,33,178,5.609,6,0,0,1,0,0,8,0.2424,45.25,10.05,0.24631716948668259
"The total restructuring costs are expected to be about EUR 30mn , of which EUR 13.5 mn was booked in December 2008 .",neutral,2337,23,116,4.444,6,2,4,0,2,0,3,0.1304,75.32,5.36,0.25704800160877556
